,aryl_halides,solvent,photocalysts,solvent_photocatalyst,piperidines,catalysts,ni_catalysts,ni_solvent,products,uplcms,aryl_halides_moles,photocalysts_moles,piperidines_moles,catalysts_moles,ni_catalysts_moles,photocalysts_moles_log+1
30,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,5.0,150,180,5,2.6094379124341005
31,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,13.378228,100,5.0,150,180,5,2.6094379124341005
32,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,5.0,150,180,5,2.6094379124341005
33,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,5.0,150,180,5,2.6094379124341005
34,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,5.0,150,180,5,2.6094379124341005
35,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,5.0,150,180,5,2.6094379124341005
36,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,5.0,150,180,5,2.6094379124341005
37,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,5.0,150,180,5,2.6094379124341005
38,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,5.0,150,180,5,2.6094379124341005
39,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,5.0,150,180,5,2.6094379124341005
